mode,valid,budget_ms,seed,n_cells,n_eval,n_cal,n_sel,rho_mean,R_cert_bound,viol_certified,ndcg_certified,viol_static,ndcg_static,abstain_frac,deploy_signature,cert_upper_bounds_realized
union,True,120.0,23,3,1585,500,500,4.379803969597018,0.2731812653578792,0.0,0.5831658536088961,0.04794952681388013,0.6368129297149656,0.6649842271293376,rrf_dense_e5_base_v2_post|external_splade_cocondenser_ensembledistil_post|external_qwen3_embedding_06b_pre,True
selection,True,120.0,23,3,1585,500,500,4.379803969597018,0.23655041230680407,0.0,0.5831658536088961,0.04794952681388013,0.6368129297149656,0.6649842271293376,rrf_dense_e5_base_v2_post|external_splade_cocondenser_ensembledistil_post|external_qwen3_embedding_06b_pre,True
as-released,False,120.0,29,3,1584,501,500,4.696749932764629,0.23492992385025668,0.0,0.594283745156224,0.041035353535353536,0.6409832478797257,0.67739898989899,external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|external_qwen3_embedding_06b_pre,True
union,True,120.0,29,3,1584,501,500,4.696749932764629,0.2704470707847014,0.0,0.594283745156224,0.041035353535353536,0.6409832478797257,0.67739898989899,external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|external_qwen3_embedding_06b_pre,True
selection,True,120.0,29,3,1584,501,500,4.696749932764629,0.23492992385025668,0.0,0.594283745156224,0.041035353535353536,0.6409832478797257,0.67739898989899,external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|external_qwen3_embedding_06b_pre,True
as-released,False,120.0,31,3,1608,489,488,4.684854311226425,0.2535999075437403,0.0236318407960199,0.5831149405735914,0.04788557213930348,0.633563978940921,0.6654228855721394,external_qwen3_embedding_06b_pre|external_splade_cocondenser_ensembledistil_post|external_qwen3_embedding_06b_pre,True
union,True,120.0,31,3,1608,489,488,4.684854311226425,0.27663446217254284,0.0236318407960199,0.5831149405735914,0.04788557213930348,0.633563978940921,0.6654228855721394,external_qwen3_embedding_06b_pre|external_splade_cocondenser_ensembledistil_post|external_qwen3_embedding_06b_pre,True
selection,True,120.0,31,3,1608,489,488,4.684854311226425,0.2535999075437403,0.0,0.5808124570254665,0.04788557213930348,0.633563978940921,0.7829601990049752,external_qwen3_embedding_06b_pre|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post,True
as-released,False,160.0,13,3,1557,514,514,4.398508719210709,0.21636989452768932,0.0006422607578676942,0.5870932591402862,0.0019267822736030828,0.6403948127943918,0.6763005780346821,external_qwen3_embedding_06b_post|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post,True
union,True,160.0,13,3,1557,514,514,4.398508719210709,0.25299997782202865,0.0006422607578676942,0.5870932591402862,0.0019267822736030828,0.6403948127943918,0.6763005780346821,external_qwen3_embedding_06b_post|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post,True
