coarsening,budget_ms,seed,n_cells,gamma_obs_mean,gamma_obs_max,gamma_plugin_mean,cells_unbounded,eval_mass_unseen_stratum,R_cert_obs,realized_violation,cert_upper_bounds_realized,kappa_star_plugin_to_obs,plugin_dominates_obs,exch_pairs,exch_mean_gap,exch_max_abs_gap
sel_x_lat4_x_bm25,80.0,31,4,inf,inf,3.1133329600928032,4,0.013679029448131153,0.9999999999999999,0.0006218905472636816,True,inf,True,23,0.0005175983436853001,0.011904761904761904
sel,120.0,13,4,2.5199230042933887,4.67209162145871,3.330132316706946,0,0.0,0.2094186399277045,0.0,True,2.650974723947312,False,8,0.0,0.0
sel_x_lat2,120.0,13,4,1.8120622597000813,2.6014254385964914,3.330132316706946,1,0.0005274261603375527,0.47259275691609365,0.0,True,0.8538633774977797,True,12,0.0,0.0
sel_x_lat4,120.0,13,4,2.5796078182970157,4.162280701754386,3.330132316706946,1,0.0005274261603375527,0.5008150939339548,0.0,True,0.9578693147449839,True,17,0.0,0.0
sel_x_lat4_x_bm25,120.0,13,4,1.821269631100813,2.4339622641509435,3.330132316706946,2,0.005440817232955807,0.5044341676905137,0.0,True,1.0131967350212887,False,23,0.0,0.0
sel,120.0,17,4,3.2901469513243895,7.163398692810458,2.740421813412085,0,0.0,0.22393158709554836,0.0,True,3.947582641302454,False,7,0.0,0.0
sel_x_lat2,120.0,17,4,2.049836389400042,2.953684210526316,2.740421813412085,1,0.0005446623093681918,0.46770061939440444,0.0,True,0.8330745723658691,True,11,0.0,0.0
sel_x_lat4,120.0,17,4,2.531823448212016,3.873684210526316,2.740421813412085,1,0.0005446623093681918,0.49276940754747944,0.0,True,1.0925568162175332,False,16,0.0,0.0
sel_x_lat4_x_bm25,120.0,17,4,4.085510688836105,4.085510688836105,2.740421813412085,3,0.005354890494209379,0.7475382556238297,0.0,True,2.9050937839027586,False,22,0.0,0.0
sel,120.0,23,4,2.9533653719358903,4.274028629856851,3.006778661492539,0,0.0,0.24724158405254196,0.0,True,2.2803359382503277,False,7,0.0,0.0
sel_x_lat2,120.0,23,4,2.63200360802334,4.2473214285714285,3.006778661492539,1,0.0005112474437627812,0.531191842635153,0.0,True,0.9241361209912288,True,10,0.0,0.0
sel_x_lat4,120.0,23,4,3.5535399545261748,5.042091836734694,3.006778661492539,1,0.0005112474437627812,0.5754920077942858,0.0,True,1.247863212684385,False,16,0.0,0.0
sel_x_lat4_x_bm25,120.0,23,4,4.822521419828642,4.822521419828642,3.006778661492539,3,0.015230685648860036,0.7549327574206448,0.0,True,3.709863605277902,False,22,0.0,0.0
sel,120.0,29,4,2.116261147000229,3.344764517604024,2.858473358884451,0,0.0,0.1775963361364924,0.0,True,1.464207620672079,False,7,0.0,0.0
sel_x_lat2,120.0,29,4,2.2676067476074713,3.7628600823045266,2.858473358884451,0,0.0,0.18840791322758468,0.0,True,1.6472335732560888,False,11,0.0,0.0
sel_x_lat4,120.0,29,4,4.299337966698477,10.946502057613168,2.858473358884451,0,0.0,0.28218794206045184,0.0,True,4.791952213108622,False,16,0.0,0.0
sel_x_lat4_x_bm25,120.0,29,4,1.3405017921146956,1.3405017921146956,2.858473358884451,3,0.006810677111819376,0.5567969825429012,0.0,True,0.9309412009379201,True,22,0.0,0.0
sel,120.0,31,4,3.814920053464803,6.4862068965517246,3.1133329600928032,1,0.00030826140567200987,0.6989691773749523,0.0,True,2.8799617690518358,False,7,0.0,0.0
sel_x_lat2,120.0,31,4,4.824632238290554,8.107758620689655,3.1133329600928032,1,0.00030826140567200987,0.7574143255157235,0.0,True,3.5999522113147946,False,10,0.0,0.0
sel_x_lat4,120.0,31,4,5.142867043690397,5.892215568862276,3.1133329600928032,2,0.006055387842453619,0.9999999999999999,0.0,True,1.3788745594055851,False,17,0.0,0.0
sel_x_lat4_x_bm25,120.0,31,4,inf,inf,3.1133329600928032,4,0.013679029448131153,0.9999999999999999,0.0,True,inf,True,23,0.0,0.0
sel,160.0,13,4,2.5199230042933887,4.67209162145871,3.330132316706946,0,0.0,0.2094186399277045,0.0019267822736030828,True,2.650974723947312,False,8,0.0023315602836879432,0.013333333333333334
sel_x_lat2,160.0,13,4,1.8120622597000813,2.6014254385964914,3.330132316706946,1,0.0005274261603375527,0.47259275691609365,0.0019267822736030828,True,0.8538633774977797,True,12,0.0027054277026370573,0.021739130434782608
sel_x_lat4,160.0,13,4,2.5796078182970157,4.162280701754386,3.330132316706946,1,0.0005274261603375527,0.5008150939339548,0.0019267822736030828,True,0.9578693147449839,True,17,0.005116232059834243,0.06666666666666667
sel_x_lat4_x_bm25,160.0,13,4,1.821269631100813,2.4339622641509435,3.330132316706946,2,0.005440817232955807,0.5044341676905137,0.0019267822736030828,True,1.0131967350212887,False,23,0.0018870772946859903,0.027777777777777776
sel,160.0,17,4,3.2901469513243895,7.163398692810458,2.740421813412085,0,0.0,0.22393158709554836,0.0012911555842479018,True,3.947582641302454,False,7,0.002484472049689441,0.017391304347826087
sel_x_lat2,160.0,17,4,2.049836389400042,2.953684210526316,2.740421813412085,1,0.0005446623093681918,0.46770061939440444,0.0012911555842479018,True,0.8330745723658691,True,11,0.002272727272727273,0.025
sel_x_lat4,160.0,17,4,2.531823448212016,3.873684210526316,2.740421813412085,1,0.0005446623093681918,0.49276940754747944,0.0012911555842479018,True,1.0925568162175332,False,16,0.003205128205128205,0.05128205128205128
sel_x_lat4_x_bm25,160.0,17,4,4.085510688836105,4.085510688836105,2.740421813412085,3,0.005354890494209379,0.7475382556238297,0.0012911555842479018,True,2.9050937839027586,False,22,0.002331002331002331,0.05128205128205128
sel,160.0,23,4,2.9533653719358903,4.274028629856851,3.006778661492539,0,0.0,0.24724158405254196,0.0018927444794952682,True,2.2803359382503277,False,7,0.005705508009655475,0.023809523809523808
sel_x_lat2,160.0,23,4,2.63200360802334,4.2473214285714285,3.006778661492539,1,0.0005112474437627812,0.531191842635153,0.0018927444794952682,True,0.9241361209912288,True,10,0.005240027045300879,0.029411764705882353
sel_x_lat4,160.0,23,4,3.5535399545261748,5.042091836734694,3.006778661492539,1,0.0005112474437627812,0.5754920077942858,0.0018927444794952682,True,1.247863212684385,False,16,0.00390625,0.0625
sel_x_lat4_x_bm25,160.0,23,4,4.822521419828642,4.822521419828642,3.006778661492539,3,0.015230685648860036,0.7549327574206448,0.0018927444794952682,True,3.709863605277902,False,22,0.002840909090909091,0.0625
sel,160.0,29,4,2.116261147000229,3.344764517604024,2.858473358884451,0,0.0,0.1775963361364924,0.001893939393939394,True,1.464207620672079,False,7,0.006367269525164262,0.02702702702702703
sel_x_lat2,160.0,29,4,2.2676067476074713,3.7628600823045266,2.858473358884451,0,0.0,0.18840791322758468,0.001893939393939394,True,1.6472335732560888,False,11,0.0052052785923753665,0.03225806451612903
sel_x_lat4,160.0,29,4,4.299337966698477,10.946502057613168,2.858473358884451,0,0.0,0.28218794206045184,0.001893939393939394,True,4.791952213108622,False,16,0.004807692307692308,0.07692307692307693
sel_x_lat4_x_bm25,160.0,29,4,1.3405017921146956,1.3405017921146956,2.858473358884451,3,0.006810677111819376,0.5567969825429012,0.001893939393939394,True,0.9309412009379201,True,22,0.0034965034965034965,0.07692307692307693
sel,160.0,31,4,3.814920053464803,6.4862068965517246,3.1133329600928032,1,0.00030826140567200987,0.7215306343697918,0.0012437810945273632,True,2.8799617690518358,False,7,-0.001358856197565875,0.02564102564102564
sel_x_lat2,160.0,31,4,4.824632238290554,8.107758620689655,3.1133329600928032,1,0.00030826140567200987,0.7598847107531955,0.0012437810945273632,True,3.5999522113147946,False,10,-0.0007867820613690006,0.03225806451612903
sel_x_lat4,160.0,31,4,5.142867043690397,5.892215568862276,3.1133329600928032,2,0.006055387842453619,0.9999999999999999,0.0012437810945273632,True,1.3788745594055851,False,17,-0.0009404924760601915,0.0625
sel_x_lat4_x_bm25,160.0,31,4,inf,inf,3.1133329600928032,4,0.013679029448131153,0.9999999999999999,0.0012437810945273632,True,inf,True,23,-0.0006951466127401416,0.0625
